scenarioID,cov2,minVaxAge,tolerance,iniCases,borderCases,pTestClin,controlEfficacy,VE,traceCap,pTrace,borderInf,simN,infections,cases,hosp,peakBeds,deaths,green,yellow,red,emergency,TTIQeff,isolInf
A,0.9,12,low,0,0,0.45,high,high,100,0.7,0.2,1,0,0,0,0,0,92,0,8,0,NaN,0
A,0.9,12,medium,0,0,0.45,high,high,100,0.7,0.2,1,0,0,0,0,0,92,0,8,0,NaN,0
A,0.9,12,high,0,0,0.45,high,high,100,0.7,0.2,1,0,0,0,0,0,92,0,8,0,NaN,0
B,0.9,12,low,500,0,0.45,high,high,100,0.7,0.2,1,161750,52578,4026,223,293,0,17,73,10,6,0
B,0.9,12,medium,500,0,0.45,high,high,100,0.7,0.2,1,509676,156264,12561,781,1065,11,12,72,5,5,0
B,0.9,12,high,500,0,0.45,high,high,100,0.7,0.2,1,550034,168602,13654,692,1068,14,12,67,7,5,0
C,0.9,12,low,1000,0,0.45,high,high,100,0.7,0.2,1,174397,55558,4153,211,325,0,0,90,10,5,0
C,0.9,12,medium,1000,0,0.45,high,high,100,0.7,0.2,1,491675,150962,12202,760,985,9,14,73,5,5,0
C,0.9,12,high,1000,0,0.45,high,high,100,0.7,0.2,1,508545,156214,12625,708,1056,10,9,75,7,5,0
D,0.9,12,low,2000,0,0.45,high,high,100,0.7,0.2,1,209479,65166,5294,227,406,0,0,85,15,5,0
D,0.9,12,medium,2000,0,0.45,high,high,100,0.7,0.2,1,513002,156872,12802,805,1039,0,21,74,5,5,0
D,0.9,12,high,2000,0,0.45,high,high,100,0.7,0.2,1,528149,161317,13115,653,1048,4,13,76,6,5,0
E,0.9,12,low,10000,0,0.45,high,high,100,0.7,0.2,1,223129,71271,5255,345,422,0,2,81,17,5,0
E,0.9,12,medium,10000,0,0.45,high,high,100,0.7,0.2,1,617728,188270,15271,798,1253,0,21,74,5,5,0
E,0.9,12,high,10000,0,0.45,high,high,100,0.7,0.2,1,563300,172195,13884,658,1156,0,14,79,7,5,0
F,0.9,12,low,0,500,0.45,high,high,100,0.7,0.2,1,62942,21110,1371,202,93,24,42,33,0,6,0
F,0.9,12,medium,0,500,0.45,high,high,100,0.7,0.2,1,419118,128747,10170,832,818,35,3,57,5,5,0
F,0.9,12,high,0,500,0.45,high,high,100,0.7,0.2,1,296771,92264,7299,699,566,46,12,35,6,5,0
